product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url,store_slug
Semi-sheer shirt with beaded belt,mango,shirts-blouses,long-sleeve,Women,129.99,209.99,In Stock,https://shop.mango.com/us/en/p/women/shirts---blouses/long-sleeve/semi-sheer-shirt-with-beaded-belt/37031458/02/00,https://media.mango.com/is/image/punto/37031458-02-007,mango-store
Knit jacket with combined fabrics,mango,sweaters-and-cardigans,cardigans,Women,49.99,99.99,In Stock,https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/cardigans/knit-jacket-with-combined-fabrics/27044098/95/00,https://media.mango.com/is/image/punto/27044098-95-001,mango-store
Turtleneck knit sweater,mango,pyjamas,knitwear,Women,29.99,89.99,In Stock,https://shop.mango.com/us/en/p/women/pyjamas/knitwear/turtleneck-knit-sweater/17034101/34/00,https://media.mango.com/is/image/punto/17034101-34-002,mango-store
Manteco wool coat with belt,mango,coats,coats,Women,149.99,299.99,In Stock,https://shop.mango.com/us/en/p/women/coats/coats/manteco-wool-coat-with-belt/27011307/37/00,https://media.mango.com/is/image/punto/27011307-37-008,mango-store
"NAIZHU 1pair Flower Earrings, Fashion Party Accessories",shein,women-dangle-earrings,Women Dangle Earrings,Women,3.41,3.84,In Stock,https://us.shein.com/NAIZHU-1pair-Beautiful-Circle-And-Creative-Flower-Earrings-Fashionable-Party-Accessories-Valentines-Mom-Mother-Mother-s-Day-Gift-p-33123770.html,https://img.ltwebstatic.com/images3_spmp/2024/03/19/a9/1710833238f93cea562cd38ccb1918c7392dc296d2_thumbnail_405x552.jpg,shein-store
EMERY ROSE Faux Denim Color Block Polo Long Sleeve Top,shein,women-t-shirts,Women T-Shirts,Women,22.26,26.04,In Stock,https://us.shein.com/EMERY-ROSE-Recommended-Best-Selling-Casual-Design-Faux-Denim-Color-Block-Patchwork-Polo-Collar-Women-s-Long-Sleeve-Top-Suitable-For-Daily-Shopping-Dating-And-Commuting-Back-To-School-Season-Loose-And-Slimming-Versatile-Style-For-All-Seasons-p-515599093.html,https://img.ltwebstatic.com/v4/j/dps/PS2026082022159/5c85381ecf7c53c39dc4fdbbffb0791154d3b1204395d3388e17fec8360170d6_thumbnail_405x552.jpg,shein-store
"Women's V-Neck Knit Vest, Button Front Cardigan",shein,women-sweater-vests,Women Sweater Vests,Women,19.09,21.86,In Stock,https://us.shein.com/Women-s-Versatile-V-Neck-Knit-Vest-Spring-Summer-Fashion-Piece-Button-Front-Sleeveless-Cardigan-Knitwear-Top-Brown-Aesthetic-Fall-p-454501773.html,https://img.ltwebstatic.com/v4/j/spmp/2026/04/27/de/17772677267a35563516dc9df8009bc5e48e2cbd37_thumbnail_405x552.jpg,shein-store
Fashion Punk Gothic Elastic Beach Headband,shein,hair-bands,Hair Bands,Women,4.68,5.18,In Stock,https://us.shein.com/1-3-4pcs-Fashion-Punk-Gothic-Soft-Non-Slip-Elastic-Hollow-Beach-Headband-Yoga-Sports-Daily-Casual-Hairband-Aesthetic-p-430341534.html,https://img.ltwebstatic.com/v4/j/spmp/2026/08/12/2b/1786500394127b655a6ab0ee3d09436d0def1df104_thumbnail_405x552.jpg,shein-store
Women's Lace Trim Satin Halter Neck Top,shein,women-tops,Women Tops,Women,16.52,18.52,In Stock,https://us.shein.com/Women-s-Summer-Top-Minimalist-Lace-Trim-Satin-Halter-Neck-Top-Going-Out-Date-Vacation-Travel-Tops-Halter-Cami-Satin-Y2K-Coquette-Old-Money-Date-Night-p-414209583.html,https://img.ltwebstatic.com/v4/j/spmp/2026/08/18/9a/1787040658a2419634ed1de74fe142087cd21f88ca_thumbnail_405x552.jpg,shein-store
SHEIN Essnce Long Sleeve Pleated Blazer,shein,women-jackets,Women Jackets,Women,17.52,20.02,In Stock,https://us.shein.com/SHEIN-Essnce-Women-s-Solid-Color-Long-Sleeve-Pleated-Blazer-In-Fall-Winter-p-40842817.html,https://img.ltwebstatic.com/images3_pi/2024/08/16/e3/17237731484f56782a1f1473a0639978b963cf3a5f_thumbnail_405x552.jpg,shein-store
SHEIN Boho Casual Loose Linen Shirt Blouse,shein,women-blouses-shirts,Women Blouses & Shirts,Women,16.02,18.02,In Stock,https://us.shein.com/SHEIN-Women-s-Simple-Boho-Casual-Comfortable-Loose-Linen-Shirt-Blouse-Vacation-Coffee-Brown-Autumn-p-533358211.html,https://img.ltwebstatic.com/v4/j/pi/2026/07/20/31/17845463206bf7f4c6585f83b99341d4235d514ee4_thumbnail_405x552.jpg,shein-store
TRNVIE Halter Neck Circular Buckle Tank Top,shein,women-tank-tops-camis,Women Tank Tops & Camis,Women,11.17,12.51,In Stock,https://us.shein.com/TRNVIE-Elegant-High-Street-Halter-Neck-Circular-Buckle-Decor-Light-Blue-Women-Tank-Top-Spring-Summer-p-160685782.html,https://img.ltwebstatic.com/v4/j/pi/2025/08/22/50/1755866915545c9736b38769d346bc380957c727fd_thumbnail_405x552.jpg,shein-store
ROMWE Leopard & Floral Print Y2K Skinny Denim Shorts,shein,women-jeans,Women Jeans,Women,39.6,54.93,In Stock,https://us.shein.com/ROMWE-Hippie-Vintage-Leopard-Floral-Print-Y2K-Style-Skinny-Denim-Shorts-p-328995645.html,https://img.ltwebstatic.com/v4/j/pi/2026/02/04/81/1770195424e9632c4ca035262199270f1b1ccd3f2e_thumbnail_405x552.jpg,shein-store
Bohemian Woven Flared A-Line Long Skirt,shein,women-skirts,Women Skirts,Women,22.58,26.04,In Stock,https://us.shein.com/Elegant-Spring-Autumn-All-Season-Versatile-French-Casual-Bohemian-Style-Woven-Fabric-Flared-A-Line-Long-Skirt-For-Women-Summer-p-469769661.html,https://img.ltwebstatic.com/v4/j/spmp/2026/06/22/dc/1782119923c9160504e95d50e05096e6922605dca7_thumbnail_405x552.jpg,shein-store
Casual Denim Spliced Jacket Slim-Fit Coat,shein,women-jackets,Women Jackets,Women,61.56,123.11,In Stock,https://us.shein.com/Women-s-Casual-Denim-Spliced-Jacket-Loose-Neck-Open-Front-Top-Long-Sleeve-Single-Breasted-Slim-Fit-Autumn-And-Winter-Coat-p-533759060.html,https://img.ltwebstatic.com/v4/p/spmp/2026/07/21/64/1784630626d5244aa7001b053d965179ba5ebcf3fa_thumbnail_405x552.png,shein-store
Elenzga V-Neck Cinched Waist Jumpsuit,shein,women-jumpsuits,Women Jumpsuits,Women,42.4,47.75,In Stock,https://us.shein.com/Elenzga-Women-s-Apricot-Solid-Fabric-V-Neck-Lapel-Collar-Cinched-Waist-Patchwork-Design-High-End-Elegant-Professional-Office-Wear-High-Presence-Meeting-Outfit-Teacher-Outfit-Academic-Style-Campus-Style-Valentine-s-Day-Carnival-Labor-Day-Easter-Travel-Vacation-Street-Style-Spring-Autumn-Jumpsuit-Spring-Autumn-New-Essential-Fashion-Item-Niche-Design-Versatile-Long-Sleeve-Cinched-Waist-Jumpsuit-p-516500556.html,https://img.ltwebstatic.com/v4/j/dps/PS202608160527/d3989da97a11bf0a24fadba0ef77031cf110683c69cc1f8409968b2c335ca7a7_thumbnail_405x552.jpg,shein-store
ROMWE Goth Floral Lace Underwire Triangle Cup Bra,shein,women-bras-bralettes,Women Bras & Bralettes,Women,9.34,11.67,In Stock,https://us.shein.com/ROMWE-Goth-Floral-Lace-Underwire-Triangle-Cup-Bra-p-353607624.html,https://img.ltwebstatic.com/v4/j/pi/2026/01/05/d6/1767583925ecbe2357d32f29fc3180a520a3832708_thumbnail_405x552.jpg,shein-store
Autumn Tiger Print Crew Neck Sweatshirt,shein,women-sweatshirts-hoodies,Women Sweatshirts & Hoodies,Women,16.18,18.85,In Stock,https://us.shein.com/Women-s-Autumn-Tiger-Print-Crew-Neck-Sweatshirt-Casual-Loose-Versatile-Holiday-Style-Top-Suitable-For-Daily-Wear-Autumn-Winter-Fashion-Spring-p-168282543.html,https://img.ltwebstatic.com/v4/j/spmp/2025/11/24/d7/1763955247ff2974a97e61871c7439582513476b03_thumbnail_405x552.jpg,shein-store
Balvessa Floral Print Wrap V-Neck Sweater,shein,women-sweaters,Women Sweaters,Women,30.13,35.39,In Stock,https://us.shein.com/Balvessa-Floral-Print-Wrap-Style-Cropped-V-Neck-Tie-Waist-Long-Gigot-Sleeve-Casual-Elegant-Sweater-For-Women-Long-Sleeve-Tops-Knit-Pullover-Fall-Winter-Outfit-p-222761527.html,https://img.ltwebstatic.com/v4/j/pi/2025/10/30/cd/1761793423f903cc98458e3bc80bde65f39dd082b1_thumbnail_405x552.jpg,shein-store
Vixey Textured Asymmetrical Hem Waistcoat Top,shein,women-tops,Women Tops,Women,13.63,41.23,In Stock,https://us.shein.com/Vixey-Solid-Textured-Woven-Asymmetrical-Hem-Single-Button-Waistcoat-Top-p-233124658.html,https://img.ltwebstatic.com/v4/j/pi/2026/07/24/61/17848870032e292b562cf776050fff9a71b77dbe14_thumbnail_405x552.jpg,shein-store
Colorful Striped Ankle Socks (4/8 Pairs),shein,women-over-the-calf-socks,Women Over the Calf Socks,Women,4.18,4.68,In Stock,https://us.shein.com/4-Pairs-8-Pairs-Colorful-Striped-Ankle-Socks-Fashionable-Innovative-Skin-Friendly-Soft-Tight-Fitting-Suitable-For-Women-Cozy-Socks-p-195053831.html,https://img.ltwebstatic.com/v4/j/spmp/2025/09/18/af/17581855747059f11260c390d4477b6d94c43f239f_thumbnail_405x552.jpg,shein-store
Glyssa Backless Halter Neck Fitted Jumpsuit,shein,women-jumpsuits,Women Jumpsuits,Women,24.7,27.71,In Stock,https://us.shein.com/Glyssa-Fashion-Sexy-Backless-Halter-Neck-Fitted-Jumpsuit-p-556872263.html,https://img.ltwebstatic.com/v4/j/smartflow/2026/08/13/30/17865983008be564dc8c24413fc3ca2f4cc9202294_thumbnail_405x552.jpg,shein-store
SHEIN Cross Neck 3/4 Sleeve Pleated Top,shein,women-tops,Women Tops,Women,21.14,24.7,In Stock,https://us.shein.com/SHEIN-Women-s-Summer-Cross-Neck-3-4-Sleeve-Pleated-Casual-Top-p-523174658.html,https://img.ltwebstatic.com/v4/j/pi/2026/08/04/f2/1785848495e4773d741658d2f9f633549c61d82626_thumbnail_405x552.jpg,shein-store
